S,n,comparacoes,atualizacoes,tempo_ms,tamanho_subsequencia
466473,100,4950,193,0,16
466473,250,31125,509,0,28
466473,500,124750,1197,1,43
466473,1000,499500,2599,2,58
466473,2000,1999000,5896,5,84
466473,4000,7998000,13018,28,121
